year,country,military expenditure,tests,,,
1945,United States,716239067100,1,,,
1946,United States,318074178100,2,,,
1948,United States,90949352840,3,,,
1951,United States,65999715160,15,,,
1951,United States,320462602000,1,,,
1952,United States,81425675260,10,,,
1953,United States,86708109820,11,,,
1954,United States,185799063900,6,,,
1955,United States,261763545800,17,,,
1955,United States,308207622000,1,,,
1956,United States,268038545200,18,,,
1957,United States,229002976500,27,,,
1957,United States,279651324500,5,,,
1958,United States,213240296900,62,,,
1958,United States,256075571400,15,,,
1960,United States,219190666200,49,,,
1961,United States,221416500000,1,,,
1961,United States,254517922700,10,,,
1962,United States,212603581400,39,,,
1962,United States,243695810600,57,,,
1963,United States,219364745600,4,,,
1963,United States,245116457800,43,,,
1964,United States,237491445200,45,,,
1965,United States,225303947100,38,,,
1966,United States,235194884700,48,,,
1967,United States,237931830600,42,,,
1968,United States,245969720200,56,,,
1969,United States,265673819100,46,,,
1970,United States,286729767500,39,,,
1971,United States,312025850000,24,,,
1972,United States,332082603100,27,,,
1973,United States,349958324900,24,,,
1974,United States,350727831200,22,,,
1975,United States,372262965800,22,,,
1976,United States,374604704300,20,,,
1977,United States,372501728800,20,,,
1978,United States,375022879300,19,,,
1979,United States,355369731200,15,,,
1980,United States,311406307400,14,,,
1981,United States,332911802200,16,,,
1982,United States,716239067100,18,,,
1983,United States,318074178100,18,,,
1984,United States,90949352840,18,,,
1985,United States,65999715160,17,,,
1986,United States,81425675260,14,,,
1987,United States,86708109820,14,,,
1988,United States,185799063900,15,,,
1989,United States,261763545800,11,,,
1990,United States,268038545200,8,,,
1991,United States,229002976500,7,,,
1992,United States,213240296900,6,,,
1997,United States,212595434800,2,,,
1998,United States,221561806500,3,,,
1999,United States,239769745400,3,,,
2000,United States,236729585700,5,,,
2001,United States,228297943700,2,,,
2002,United States,226957951100,3,,,
2003,United States,287752006200,2,,,
2006,United States,312199935300,1,,,
